,xpla1vnzz7xyqjaayljtdrug845tdlw33k2pnh47k4e,xpla1j0rc0uraryz205ulycxv7t8a05q35rvpncz3jw,xpla1e8xzemhx36xp7qu2gtllgpcde2z8y498j2zyrk,xpla1qxfrqlf8tpz532w0t5gz76ud4qg398xrr29r65,xpla1vdqljayz7rm04xj9p4du2cgmf3jzfsa0ka9f7l,xpla1vrget09sfejz8l8q0jwucva7pl93at9x5hp8qg,xpla1mfe4yrwkyarsrvncnhw9unfqkjzwcyrj9dt72u,xpla10ksn9528f82uwnmz3sgr4n42l0nucmzntjrg00,xpla19dacf8gzsvuj9txzw0wmtfpdg8swpd4jxl3ks2,xpla15nczwuqh0zcu6syeqsc4td6dphql7n2p7cgkl9raz97z5s3zdjrs0t3sta,xpla1nphwrdqm9ky03c2eccmccrd3atg5usw9ltjn08he850xthxp7c0stg7tpc,xpla1upd858fjdlme0wv4vd2v7c4majyr9dg53rl72dzfhds9zusmn9mq80m5p7,xpla1xwtrcm6huapy90mlckfhd4vw73x5j6wrzut9afhpmrhnkcy20dus02kf7n,xpla126402sucs3zwreams5adstmvlnzytuegcy2e2dav0g94e990803qudxw78,xpla18nd704wpeagscgg0qg5t9f7nxvdlm87j9255gzcmc73kr59xyd7qh8p9jr,xpla1mjx673u8jq6lmc3xqa2a86hjshnjt29znza62rwcz0hnmcr55qqqx0saff,xpla1jnxy3fdr3l8ck2uw0dnvnfy7mdlgxy2vgunv9k9584ajsjkf0qcszfpfug,xpla1asvgm5x6dm2k2m59pu6t750l0eqswddh8pjulqwe3kvk25tz9g4q640zex,xpla19fr3z4g04344aelwdjxl7vk73a6hec6tpz2m2x90d9ft2ra5sw7qrkmrap,xpla1tddsuf25rrjgl9ty9lazhxe38q66uva7eqak3qz2c8e4yk0gj0yqj23r94,xpla1pplj0vzv57xh64ydh5pkfpv6s0hyj3jxugdlezrl5j64wcyt9yyq2zkens,xpla1gcs4amt2aztnj5xrpprja050jg97ywsc90xh4ylvr6w2zj2f0v9q0vxwuy
2023/09/30,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,7905583,31337,31337,24863,24816,47005,1660000,180000000,175000000,25000000,62500000,19600000,3000000
2023/10/31,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,7618183,18427,18427,14621,14593,27641,1620000,180000000,162500000,22125000,62500000,19600000,3000000
2023/11/30,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,7340053,5934,5934,4708,4699,8901,1580000,180000000,150000000,20000000,62500000,19600000,3000000
2023/12/31,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,7045778,0,0,0,0,0,1540000,160000000,137500000,20000000,50000000,19600000,3000000
2024/01/31,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,6745655,0,0,0,0,0,1500000,160000000,125000000,17125000,50000000,19600000,3000000
2024/02/29,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,6464895,0,0,0,0,0,0,160000000,112500000,17875000,50000000,19600000,3000000
2024/03/31,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,6164773,0,0,0,0,0,0,140000000,100000000,15000000,37500000,19600000,3000000
2024/04/30,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,5874331,0,0,0,0,0,0,140000000,87500000,12125000,37500000,19600000,3000000
2024/05/31,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,5574208,0,0,0,0,0,0,140000000,75000000,10000000,37500000,19600000,3000000
2024/06/30,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,5283767,0,0,0,0,0,0,120000000,62500000,10000000,25000000,19600000,3000000
2024/07/31,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,4983644,0,0,0,0,0,0,120000000,50000000,7125000,25000000,19600000,3000000
2024/08/31,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,4683521,0,0,0,0,0,0,120000000,37500000,5000000,25000000,19600000,3000000
2024/09/30,742242613,60000000,0,200000000,49732610,0,0,400000,59999850,4393080,0,0,0,0,0,0,100000000,25000000,5000000,12500000,19600000,3000000
