Date,TVL
2021-04-08 09:00:00,2862039697.0
2021-04-09 09:00:00,3009078238.0
2021-04-10 09:00:00,3136530069.0
2021-04-11 09:00:00,3162144078.0
2021-04-12 09:00:00,3138951151.0
2021-04-13 09:00:00,3108431036.0
2021-04-14 09:00:00,3292503077.0
2021-04-15 09:00:00,3272951888.0
2021-04-16 09:00:00,3307778899.0
2021-04-17 09:00:00,3335711422.0
2021-04-18 09:00:00,3244925618.0
2021-04-19 09:00:00,3154034352.0
2021-04-20 09:00:00,3320109980.0
2021-04-21 09:00:00,3296406192.0
2021-04-22 09:00:00,3953061934.0
2021-04-23 09:00:00,3972313548.0
2021-04-24 09:00:00,3807266213.0
2021-04-25 09:00:00,4060995778.0
2021-04-26 09:00:00,4291794947.0
2021-04-27 09:00:00,4396507710.0
2021-04-28 09:00:00,4472972723.0
2021-04-29 09:00:00,4403505353.0
2021-04-30 09:00:00,4491220660.0
2021-05-01 09:00:00,4571417522.0
2021-05-02 09:00:00,4562184785.0
2021-05-03 09:00:00,4272284964.0
2021-05-04 09:00:00,4273100504.0
2021-05-05 09:00:00,4240503236.0
2021-05-06 09:00:00,4300421324.0
2021-05-07 09:00:00,4287531573.0
2021-05-08 09:00:00,4261228170.0
2021-05-09 09:00:00,4318545087.0
2021-05-10 09:00:00,4328025928.0
2021-05-11 09:00:00,4272604308.0
2021-05-12 09:00:00,4291776702.0
2021-05-13 09:00:00,4243946708.0
2021-05-14 09:00:00,4303100993.0
2021-05-15 09:00:00,4141323746.0
2021-05-16 09:00:00,4271810237.0
2021-05-17 09:00:00,4138740852.0
2021-05-18 09:00:00,4178077850.0
2021-05-19 09:00:00,3364482146.0
2021-05-20 09:00:00,3368769522.0
2021-05-21 09:00:00,3066094324.0
2021-05-22 09:00:00,2954185214.0
2021-05-23 09:00:00,2422512567.0
2021-05-24 09:00:00,2615343233.0
2021-05-25 09:00:00,2629837229.0
2021-05-26 09:00:00,2804233734.0
2021-05-27 09:00:00,2802201975.0
2021-05-28 09:00:00,2780277555.0
2021-05-29 09:00:00,2713377617.0
2021-05-30 09:00:00,2795986631.0
2021-05-31 09:00:00,2889292691.0
2021-06-01 09:00:00,2898086344.0
2021-06-02 09:00:00,3006482668.0
2021-06-03 09:00:00,3105149967.0
2021-06-04 09:00:00,2937997853.0
2021-06-05 09:00:00,2906874077.0
2021-06-06 09:00:00,2940580399.0
2021-06-07 09:00:00,2878025171.0
2021-06-08 09:00:00,2920197788.0
2021-06-09 09:00:00,3008675695.0
2021-06-10 09:00:00,3014819546.0
2021-06-11 09:00:00,2937005336.0
2021-06-12 09:00:00,2937521781.0
2021-06-13 09:00:00,3044975367.0
2021-06-14 09:00:00,3074793683.0
2021-06-15 09:00:00,3145293363.0
2021-06-16 09:00:00,3074846372.0
2021-06-17 09:00:00,3137977301.0
2021-06-18 09:00:00,3141707724.0
2021-06-19 09:00:00,3126194587.0
2021-06-20 09:00:00,3142652843.0
2021-06-21 09:00:00,2982013965.0
2021-06-22 09:00:00,3002763629.0
2021-06-23 09:00:00,3117106518.0
2021-06-24 09:00:00,3172440691.0
2021-06-25 09:00:00,3139221001.0
2021-06-26 09:00:00,3157308665.0
2021-06-27 09:00:00,3204688912.0
2021-06-28 09:00:00,3221175113.0
2021-06-29 09:00:00,3306315334.0
2021-06-30 09:00:00,3415794400.0
2021-07-01 09:00:00,3337201208.0
2021-07-02 09:00:00,3358737617.0
2021-07-03 09:00:00,3362246757.0
2021-07-04 09:00:00,3395734577.0
2021-07-05 09:00:00,3417579127.0
2021-07-06 09:00:00,3478079176.0
2021-07-07 09:00:00,3622108282.0
2021-07-08 09:00:00,3508911281.0
2021-07-09 09:00:00,3763839146.0
2021-07-10 09:00:00,3724478224.0
2021-07-11 09:00:00,3809071316.0
2021-07-12 09:00:00,3711927199.0
2021-07-13 09:00:00,3620179913.0
2021-07-14 09:00:00,3637163176.0
2021-07-15 09:00:00,3558380353.0
2021-07-16 09:00:00,3569476675.0
2021-07-17 09:00:00,3554784847.0
2021-07-18 09:00:00,3602116270.0
2021-07-19 09:00:00,3454952059.0
2021-07-20 09:00:00,3445368871.0
2021-07-21 09:00:00,3593094879.0
2021-07-22 09:00:00,3707605572.0
2021-07-23 09:00:00,3797239219.0
2021-07-24 09:00:00,3934992237.0
2021-07-25 09:00:00,3914917268.0
2021-07-26 09:00:00,3944620449.0
2021-07-27 09:00:00,4104255822.0
2021-07-28 09:00:00,4360693721.0
2021-07-29 09:00:00,4398473342.0
2021-07-30 09:00:00,4356853696.0
2021-07-31 09:00:00,4356223651.0
2021-08-01 09:00:00,4517990045.0
2021-08-02 09:00:00,4635659021.0
2021-08-03 09:00:00,4967166545.0
2021-08-04 09:00:00,4935198398.0
2021-08-05 09:00:00,4950642743.0
2021-08-06 09:00:00,4907518594.0
2021-08-07 09:00:00,4939815070.0
2021-08-08 09:00:00,4739016547.0
2021-08-09 09:00:00,4869285140.0
2021-08-10 09:00:00,5226944191.0
2021-08-11 09:00:00,5285672783.0
2021-08-12 09:00:00,5246066560.0
2021-08-13 09:00:00,5400074548.0
2021-08-14 09:00:00,5346744485.0
2021-08-15 09:00:00,5546379759.0
2021-08-16 09:00:00,6108459291.0
2021-08-17 09:00:00,6571281673.0
2021-08-18 09:00:00,7434329749.0
2021-08-19 09:00:00,7126467844.0
2021-08-20 09:00:00,7272640724.0
2021-08-21 09:00:00,6861579266.0
2021-08-22 09:00:00,6830334384.0
2021-08-23 09:00:00,7130324413.0
2021-08-24 09:00:00,7131326108.0
2021-08-25 09:00:00,7093547465.0
2021-08-26 09:00:00,6723505264.0
2021-08-27 09:00:00,7437328375.0
2021-08-28 09:00:00,7454447024.0
2021-08-29 09:00:00,7479333402.0
2021-08-30 09:00:00,7744031434.0
2021-08-31 09:00:00,7512678190.0
2021-09-01 09:00:00,7499323824.0
2021-09-02 09:00:00,7543579010.0
2021-09-03 09:00:00,7482154061.0
2021-09-04 09:00:00,7531177371.0
2021-09-05 09:00:00,7665368474.0
2021-09-06 09:00:00,7613501581.0
2021-09-07 09:00:00,7026762901.0
2021-09-08 09:00:00,7002832858.0
2021-09-09 09:00:00,6926449683.0
2021-09-10 09:00:00,7914703664.0
2021-09-11 09:00:00,8174764843.0
2021-09-12 09:00:00,8452411369.0
2021-09-13 09:00:00,8322781819.0
2021-09-14 09:00:00,8173179972.0
2021-09-15 09:00:00,8348699644.0
2021-09-16 09:00:00,8524335153.0
2021-09-17 09:00:00,8110958691.0
2021-09-18 09:00:00,8178245706.0
2021-09-19 09:00:00,7929039596.0
2021-09-20 09:00:00,7136742863.0
2021-09-21 09:00:00,6760247374.0
2021-09-22 09:00:00,7973151880.0
2021-09-23 09:00:00,8415580945.0
2021-09-24 09:00:00,8605056260.0
2021-09-25 09:00:00,8720859480.0
2021-09-26 09:00:00,8244873418.0
2021-09-27 09:00:00,8507638557.0
2021-09-28 09:00:00,7958279260.0
2021-09-29 09:00:00,8077306679.0
2021-09-30 09:00:00,8439283487.0
2021-10-01 09:00:00,8916487580.0
2021-10-02 09:00:00,9194333755.0
2021-10-03 09:00:00,9483733246.0
2021-10-04 09:00:00,10069292977.0
2021-10-05 09:00:00,9920070395.0
2021-10-06 09:00:00,9846829447.0
2021-10-07 09:00:00,9483199984.0
2021-10-08 09:00:00,10264310833.0
2021-10-09 09:00:00,9715801690.0
2021-10-10 09:00:00,9556467992.0
2021-10-11 09:00:00,9234340930.0
2021-10-12 09:00:00,8995136167.0
2021-10-13 09:00:00,8965032032.0
2021-10-14 09:00:00,8876894071.0
2021-10-15 09:00:00,8941942025.0
2021-10-16 09:00:00,8993510939.0
2021-10-17 09:00:00,8935595351.0
2021-10-18 09:00:00,8981238705.0
2021-10-19 09:00:00,8815039316.0
2021-10-20 09:00:00,9177276890.0
2021-10-21 09:00:00,10022016396.0
2021-10-22 09:00:00,9868231930.0
2021-10-23 09:00:00,10030824161.0
2021-10-24 09:00:00,10004867942.0
2021-10-25 09:00:00,9800755426.0
2021-10-26 09:00:00,10143901631.0
2021-10-27 09:00:00,10054025529.0
2021-10-28 09:00:00,9420913323.0
2021-10-29 09:00:00,9918859496.0
2021-10-30 09:00:00,10099021390.0
2021-10-31 09:00:00,9951650191.0
2021-11-01 09:00:00,9877068468.0
2021-11-02 09:00:00,10089063284.0
2021-11-03 09:00:00,10163319375.0
2021-11-04 09:00:00,10674876073.0
2021-11-05 09:00:00,11192182103.0
2021-11-06 09:00:00,10963379742.0
2021-11-07 09:00:00,11138887035.0
2021-11-08 09:00:00,11226513301.0
2021-11-09 09:00:00,11492925837.0
2021-11-10 09:00:00,11079382352.0
2021-11-11 09:00:00,10806356714.0
