Key,Values
optimism,User Airdrops,Governance Fund,Core Contributors,Retroactive Public Goods Funding,Investors
1inch,Team/Investor/VC,Community Incentives
osmosis,Airdrop,Liquidity Mining Incentives,Community Pool,Strategic Reserve,Developer Vesting,Staking Rewards
lido-dao,DAO Treasury,Investors,Team and Validators
okb,Community building
stakewise,Community,Investors,Future fundraise,Team
multichain,$ANY Migration,MULTI Locked
x2y2,Development & Team,Treasury & Ecosystem,Liquidity Management,Airdrop,Staking Reward,Presale,NFT Staking
sudoswap,Treasury,Initial team members,XMON holders,0xmons NFT holders,SudoRandom Labs,Retroactive LP airdrop
cosmos,Strategic and Early Adopters,Interchain Foundation,Seed Contributors,Block Rewards,All in Bits Inc (Tendermint Inc.),Public Fund Raisers
compound-governance-token,Users,Community,Founders & Team,Future team members,Shareholders of Compound Inc.
sui,Early Contributors,Sui Foundation,Mysten Labs Treasury,Community Access Program,Series A Sale,Series B Sale,Market Makers,Binance Launchpool
gala,Founder’s Node Operators,Gala Games Conservatorship.
illuvium,Treasury,Team/Seed/Management etc.,Public Sale
blur,Community Treasury,Investor,Advisor,Past and Future core contributors
filecoin,Simple Minting,Fundraising 36 months,Protocol Labs Team and Contributors,Filecoin Foundation,Mining Reserve,Fundraising 6 months,Protocol Labs,Baseline Minting,Fundraising 24 months,Fundraising 12 months
axie-infinity,Private Sale,Staking Rewards,Public Sale,Advisors,Ecosystem Fund,Play to Earn,Team
decentraland,Crowdsale,Team,Decentraland DAO,Decentraland Foundation
yearn-finance,Balancer YFI Pool,Key Contributors,Yearn Governance,Yearn Rewards,Treasury Executive
mina-protocol,Mina Foundation,Community,O(1) Labs,Core Contributors,Backers
gmx,XVIX and Gambit migration,Marketing and Partnerships,GMX:ETH Uniswap Pool,Floor Price Fund,Contributors,esGMX Rewards
aave,LEND to AAVE Migrator,AAVE Ecosystem Reserve
stargate-finance,Community,Initial Emissions,Bonding Curve,Protocol Launch,DEXes,Investors,Team
bitdao,ByBit Locked,ByBit Flexible,BitDAO Treasury,Launch Partner Rewards,Private Sale
joe,Liquidity Providers (LP),Dev Team,Treasury,Future Investors
hashflow,Core Team,Community Rewards,Ecosystem Development,Future Hires,Early Investors
matic-network,Binance IEO Investors,Ecosystem,Foundation,Team,Private Investors,Staking Rewards,Advisors
arbitrum,Daos in Arbitrum Ecosystem,"Team, Future Team + Advisors",Arbitrum DAO Treasury,Investors,Individual Wallets
