timestamp,X30
2022-12-23 15:45:00+09:00,404.1257829551
2022-12-23 16:45:00+09:00,404.0969159706
2022-12-23 17:45:00+09:00,403.4004902054
2022-12-23 18:45:00+09:00,403.2931078688
2022-12-23 19:45:00+09:00,404.4210473825
2022-12-23 20:45:00+09:00,403.7592733469
2022-12-23 21:45:00+09:00,404.0400617366
2022-12-23 22:45:00+09:00,404.6488223315
2022-12-23 23:45:00+09:00,402.212071874
2022-12-24 00:45:00+09:00,404.0185370456
2022-12-24 01:45:00+09:00,403.0461457005
2022-12-24 02:45:00+09:00,403.2344973102
2022-12-24 03:45:00+09:00,403.4391970882
2022-12-24 04:45:00+09:00,403.5732276561
2022-12-24 05:45:00+09:00,403.0577901103
2022-12-24 06:45:00+09:00,403.2104449491
2022-12-24 07:45:00+09:00,402.5112625537
2022-12-24 08:45:00+09:00,402.8284880903
2022-12-24 09:45:00+09:00,403.040942161
2022-12-24 10:45:00+09:00,402.8334065084
2022-12-24 11:45:00+09:00,402.7857562744
2022-12-24 12:45:00+09:00,403.3129779166
2022-12-24 13:45:00+09:00,403.2695925327
2022-12-24 14:45:00+09:00,402.3811779156
2022-12-24 15:45:00+09:00,402.2803909959
2022-12-24 16:45:00+09:00,402.9523229167
2022-12-24 17:45:00+09:00,402.4601855744
2022-12-24 18:45:00+09:00,402.1858508442
2022-12-24 19:45:00+09:00,402.2919532567
2022-12-24 20:45:00+09:00,402.2524712619
2022-12-24 21:45:00+09:00,402.2144349509
2022-12-24 22:45:00+09:00,402.4406670826
2022-12-24 23:45:00+09:00,402.2752802986
2022-12-25 00:45:00+09:00,402.3853397019
2022-12-25 01:45:00+09:00,402.5415665753
2022-12-25 02:45:00+09:00,402.6222424412
2022-12-25 03:45:00+09:00,403.0538831159
2022-12-25 04:45:00+09:00,403.4787731809
2022-12-25 05:45:00+09:00,403.1825308971
2022-12-25 06:45:00+09:00,402.8823734094
2022-12-25 07:45:00+09:00,402.5605947417
2022-12-25 08:45:00+09:00,403.0609567765
2022-12-25 09:45:00+09:00,403.0894627004
2022-12-25 10:45:00+09:00,403.3558774081
2022-12-25 11:45:00+09:00,402.7110567084
2022-12-25 12:45:00+09:00,402.9697189111
2022-12-25 13:45:00+09:00,402.4971593577
2022-12-25 14:45:00+09:00,402.1044532837
2022-12-25 15:45:00+09:00,402.4466805069
2022-12-25 16:45:00+09:00,402.3067526171
2022-12-25 17:45:00+09:00,402.3959143552
2022-12-25 18:45:00+09:00,402.4336787687
2022-12-25 19:32:00+09:00,402.1719284419
