timestamp,XDEFI,XKC,XMN,X30,XGM,XNFT
2023-02-10 14:15:00+09:00,136.7631727406,360.8700507159,898.2966653693,516.38030976,289.6851284606,413.8809856662
2023-02-10 15:15:00+09:00,137.2747839781,361.2475915588,897.7693122189,516.9547806719,289.7963070273,414.4111806253
2023-02-10 16:15:00+09:00,138.6837942113,362.9744984727,899.536779051,517.6164513724,291.2008972615,416.3763453882
2023-02-10 17:15:00+09:00,139.6344467904,365.5329158499,902.7860422406,519.2337220807,293.0693829673,419.0908838789
2023-02-10 18:15:00+09:00,139.8432533357,367.2172253569,903.9637020233,519.4151365223,293.7938352796,420.1943955818
2023-02-10 19:15:00+09:00,138.8262555354,366.2039400788,903.0801457058,518.2862035043,293.4484184479,419.1360458328
2023-02-10 20:15:00+09:00,138.4620302568,366.3485036997,900.0778522476,516.8897605854,294.5360494064,419.3754631403
2023-02-10 21:15:00+09:00,136.5776780411,364.7523312363,898.4377239354,515.746910185,292.0688757022,416.3669650966
2023-02-10 22:15:00+09:00,136.4293734444,364.757444812,897.0603518891,515.4474469316,295.0705250737,419.7747953578
2023-02-10 23:15:00+09:00,137.0424685997,365.3708432189,899.5882742807,516.3031204963,295.0949704999,419.9696833435
2023-02-11 00:15:00+09:00,138.7470560322,365.956350315,903.4485714009,518.5319450431,297.3029920414,423.4196155365
2023-02-11 01:15:00+09:00,138.246777002,364.3165730203,898.3498862314,515.0186819421,295.5798901055,420.1764155645
2023-02-11 02:15:00+09:00,137.3938455545,362.4578640407,892.8858498954,512.4261369704,294.1654174988,418.0042397585
2023-02-11 03:15:00+09:00,138.2198926338,363.1974868129,895.0240265503,513.4423623668,294.6021359318,419.0445172142
2023-02-11 04:15:00+09:00,138.7916897739,363.2321401667,895.7781147718,514.0579649055,295.1216568773,419.532072995
2023-02-11 05:15:00+09:00,139.2682126348,365.5498138796,900.6672192319,516.7507680841,298.3133280736,423.9875769643
2023-02-11 06:15:00+09:00,137.9656151704,365.2815940377,896.0325267005,514.7946658724,295.560529925,420.8514552831
2023-02-11 07:15:00+09:00,137.1732734314,364.2799914747,894.0740346855,511.9463618232,293.1353920094,417.1156570904
2023-02-11 08:15:00+09:00,137.5744833703,364.3066636652,891.4671361223,511.8406830559,292.8848126312,417.5588288558
2023-02-11 09:15:00+09:00,137.0493376984,363.8989257754,885.6343647083,510.7870435299,292.6627752683,416.9131756177
2023-02-11 10:15:00+09:00,137.6313064581,364.8622254895,888.8074821342,512.4253433927,293.4338937264,418.3727739361
2023-02-11 11:15:00+09:00,136.7724083387,364.1024411687,887.3406673896,511.8358094556,291.9876813757,416.2434964186
2023-02-11 12:15:00+09:00,137.4623196874,365.3950266648,890.0577686642,513.1159210809,294.1259262759,419.131512843
2023-02-11 13:15:00+09:00,137.2841250957,365.6707841477,891.8755092855,513.5981126103,293.4926487825,418.4807577401
2023-02-11 14:15:00+09:00,137.0445358498,365.1554620817,892.1018006096,513.6081383156,292.7156640136,417.7134628115
2023-02-11 15:15:00+09:00,136.9773058964,364.417937331,889.0118182167,512.4009810239,291.1277437351,415.812663282
2023-02-11 16:15:00+09:00,137.4083221556,365.8322755698,891.2771100848,513.1616289507,292.3097501044,417.8547354144
2023-02-11 17:15:00+09:00,137.2427478043,366.2468723356,890.9454059618,513.3197614763,292.7114836029,418.8443579892
2023-02-11 18:15:00+09:00,137.1281337828,366.4441953082,891.9385459895,513.675571456,295.3043087859,421.6430821526
2023-02-11 19:15:00+09:00,136.7187053984,365.9831849134,891.4539974788,513.4058667516,293.6515015309,419.7846575044
2023-02-11 20:15:00+09:00,136.3770644804,365.7504928196,889.5249045547,512.7787260179,293.5180752502,419.2164094976
2023-02-11 21:15:00+09:00,137.372412542,366.1767345318,892.6199691862,514.2680830526,294.9298918256,421.3003064274
2023-02-11 22:15:00+09:00,137.079792807,366.5062516893,891.1822716369,513.6331524087,296.5550380761,422.9818437979
2023-02-11 23:15:00+09:00,137.6819247083,367.0019392051,893.8723233784,515.0011641061,298.6971477811,427.1046578911
2023-02-12 00:15:00+09:00,138.1541993357,367.8461223818,895.4437711279,515.4791055786,301.2677640012,430.6364169647
2023-02-12 01:15:00+09:00,137.7351556097,367.8927934999,900.1617619036,516.0020358564,300.9892451184,429.7039952759
2023-02-12 02:15:00+09:00,137.0990886699,367.0731912923,897.4163678165,514.7202998744,298.2731523426,426.2943816236
2023-02-12 03:15:00+09:00,137.5007695478,367.5580195479,892.6990202021,514.2840311961,298.6885041461,427.322610436
2023-02-12 04:15:00+09:00,136.8478377578,367.4708844495,890.4276329095,513.1173831852,297.3394596309,425.2851352435
2023-02-12 05:15:00+09:00,137.07582299,367.4881803447,890.9337024394,513.1617739649,297.0486659432,425.1368747763
2023-02-12 06:15:00+09:00,137.1743757285,367.915774877,892.7505706772,514.0387315258,297.9033446515,426.6299111187
2023-02-12 07:15:00+09:00,138.6177752058,369.9704094801,900.0203706584,517.6510993724,301.0493570772,431.7071951257
2023-02-12 08:15:00+09:00,139.2324871674,370.2062770756,902.2156251157,518.6142679497,302.6846851606,433.3746488364
2023-02-12 09:15:00+09:00,139.2299355642,370.033358807,901.5625657541,518.7358838284,301.8188357111,432.136994287
2023-02-12 10:15:00+09:00,138.8692148819,369.3871345568,899.7585992918,517.7448137804,300.1169035201,429.8281378944
2023-02-12 11:15:00+09:00,138.9505045173,368.4652520055,897.6571775761,516.613584661,298.5128187667,427.6471458555
2023-02-12 12:15:00+09:00,139.404004893,368.5201140769,898.5111723835,517.2597436649,299.2011781077,428.9153679833
