timestamp,XDEX,XGM,XLB
2022-12-18 19:15:00+09:00,200.3350531462,179.3858157525,130.6931865927
2022-12-18 20:15:00+09:00,200.5438758706,179.7711490592,130.9125783547
2022-12-18 21:15:00+09:00,201.0255812453,181.3643782423,131.3962590502
2022-12-18 22:15:00+09:00,201.1245781483,182.7575500587,131.4842529502
2022-12-18 23:15:00+09:00,200.698076691,181.0123151048,131.1237784649
2022-12-19 00:15:00+09:00,200.0900047666,179.3821124998,130.7134700179
2022-12-19 01:15:00+09:00,199.8455081406,179.6012277121,130.5611982453
2022-12-19 02:15:00+09:00,199.8933481292,179.5119109381,130.5952782417
2022-12-19 03:15:00+09:00,201.2881518036,180.9975332812,131.2763431457
2022-12-19 04:15:00+09:00,201.0082811755,180.5860505353,131.3264688103
2022-12-19 05:15:00+09:00,201.7034271028,181.6809173919,132.1144743891
2022-12-19 06:15:00+09:00,201.2219790835,181.2926151719,131.7999131735
2022-12-19 07:15:00+09:00,200.8834947779,180.4489895841,131.3991066447
2022-12-19 08:15:00+09:00,202.119287646,181.6195436794,131.9928268633
2022-12-19 09:15:00+09:00,201.4763172681,180.8203970703,131.5316523884
2022-12-19 10:15:00+09:00,202.6036881062,181.9487152814,132.1896911203
2022-12-19 11:15:00+09:00,202.8163488265,181.9189518982,132.2266281136
2022-12-19 12:15:00+09:00,200.178079572,178.6695018519,130.4662361644
2022-12-19 13:15:00+09:00,199.7345199023,177.6217640586,130.1439729433
2022-12-19 14:15:00+09:00,200.3490365953,178.1878035301,130.4774785956
2022-12-19 15:15:00+09:00,200.267655033,177.9427807702,130.1074598424
2022-12-19 16:15:00+09:00,200.3153256655,178.5522430619,130.1753939014
2022-12-19 17:15:00+09:00,200.3878138345,178.3937767051,129.8836687874
2022-12-19 18:15:00+09:00,201.2435036414,180.5636491295,130.3564516264
2022-12-19 19:15:00+09:00,202.0677523761,180.7137011667,130.6060277462
2022-12-19 20:15:00+09:00,202.4160797422,181.0746612369,130.944732985
2022-12-19 21:15:00+09:00,201.6484144596,180.1645395716,130.7311774896
2022-12-19 22:15:00+09:00,202.1947844376,180.704721091,131.090448959
2022-12-19 23:15:00+09:00,200.2321362078,179.5558681165,130.7444971506
2022-12-20 00:15:00+09:00,200.5067289181,180.2919885742,130.967527917
2022-12-20 01:15:00+09:00,199.6534052428,179.2571782326,130.6184732733
2022-12-20 02:15:00+09:00,197.5971935267,177.5496752079,129.6686785908
2022-12-20 03:15:00+09:00,196.519521804,176.9843513904,129.1901496756
2022-12-20 04:15:00+09:00,195.1735852819,174.8808917392,127.7197885229
2022-12-20 05:15:00+09:00,195.3182374061,175.0514200172,127.6902729834
2022-12-20 06:15:00+09:00,195.29217338,175.1529780682,127.6049211769
2022-12-20 07:15:00+09:00,194.8144172238,173.7267354511,127.0353921048
2022-12-20 08:15:00+09:00,192.6475921513,169.4607164463,125.3318506482
2022-12-20 09:15:00+09:00,192.3957882705,170.2306438076,125.3711895802
2022-12-20 10:15:00+09:00,193.7616819919,172.2773522106,126.4327992515
2022-12-20 11:15:00+09:00,195.669972803,173.8808121466,127.782250928
2022-12-20 12:15:00+09:00,197.4518794134,175.726032601,128.4517311791
2022-12-20 13:15:00+09:00,198.0750588043,176.1402990051,128.7086009373
2022-12-20 14:15:00+09:00,199.7775164474,177.9708450901,129.7503934266
2022-12-20 15:15:00+09:00,199.8756687512,177.5549395382,130.4102259456
2022-12-20 16:15:00+09:00,200.1918222755,178.2323386241,131.0308457752
2022-12-20 17:15:00+09:00,200.2713886551,178.3634023482,131.0045286045
2022-12-20 18:15:00+09:00,200.2836822855,178.1315834737,131.1338404507
2022-12-20 19:15:00+09:00,199.9888601618,177.8780290998,131.1922456793
2022-12-20 20:15:00+09:00,200.1612628797,177.7758080994,131.1429386051
2022-12-20 21:15:00+09:00,200.3301690137,178.169801084,131.3154166238
2022-12-20 22:15:00+09:00,200.3653801238,177.6670653832,131.3901796444
2022-12-20 23:15:00+09:00,199.9048162617,177.1388483124,130.9795650335
2022-12-21 00:15:00+09:00,200.7588977958,178.2835664061,131.8536463394
2022-12-21 01:15:00+09:00,200.7129520575,178.61105973,131.8156876614
2022-12-21 02:15:00+09:00,199.6218100755,178.2074856566,131.2685186291
2022-12-21 03:15:00+09:00,199.2365106893,178.0577622741,131.0453185643
2022-12-21 04:15:00+09:00,200.2721932523,179.0071581441,131.7233223013
2022-12-21 05:15:00+09:00,200.3273707324,179.0607802841,131.6296086922
2022-12-21 06:15:00+09:00,200.1874700285,178.6221699597,131.3902319511
2022-12-21 07:15:00+09:00,200.4983703405,179.1914322368,131.5982285437
2022-12-21 08:15:00+09:00,200.8929365054,179.5129947658,131.7783047996
2022-12-21 09:15:00+09:00,201.0007359541,179.5956648376,132.0642915666
2022-12-21 10:15:00+09:00,200.0688941465,178.213136816,131.3340063109
2022-12-21 11:15:00+09:00,199.5937564405,177.5213030566,131.0109602226
2022-12-21 12:15:00+09:00,198.4714265789,176.3140007584,130.432942862
2022-12-21 13:15:00+09:00,198.4505776666,176.3908816091,130.5508779683
